Department Name,Course Code,Course Title,Prerequisites,Theoritical,Practical,Course Credits,ECTS
Political Science and International Relations Department (in English),UNI 221,World Civilizations and Global Encounters: Until 1300 CE,,3,0,3,5
Political Science and International Relations Department (in English),UNI 112,Critical Reading and Writing in Turkish II,,3,0,3,5
Political Science and International Relations Department (in English),UNI 118,Understanding Politics and Economy,,3,0,3,5
Political Science and International Relations Department (in English),UNI 124,Textual Analysis and Academic Writing,successfully complete one of the UNI 113 or UNI 123 courses,3,0,3,5
Political Science and International Relations Department (in English),UNI 222,World Civilizations and Global Encounters: Since 1300 CE,,3,0,3,5
Political Science and International Relations Department (in English),POLS 201,Political Science,,3,0,3,5
Political Science and International Relations Department (in English),POLS 203,Classics of Political Thought: The Ancients,,3,0,3,5
Political Science and International Relations Department (in English),POLS 205,Emergence of Modern International Order,,3,0,3,5
Political Science and International Relations Department (in English),POLS 207,Fundamentals of Law,,3,0,3,5
Political Science and International Relations Department (in English),POLS 219,Macro Economics,,3,0,3,5
Political Science and International Relations Department (in English),POLS 202,International Relations,,3,0,3,5
Political Science and International Relations Department (in English),POLS 204,Classics of Political Thought: The Moderns,,3,0,3,5
Political Science and International Relations Department (in English),POLS 208,Constitutional Politics,,3,0,3,5
Political Science and International Relations Department (in English),POLS 214,Contemporary International Politics,,3,0,3,5
Political Science and International Relations Department (in English),POLS 220,Micro Economics,,3,0,3,5
Political Science and International Relations Department (in English),POLS 301,International Law and Organizations,,3,0,3,6
Political Science and International Relations Department (in English),POLS 303,Research Methods,,3,0,3,7
Political Science and International Relations Department (in English),UNI 201,Formations of Modern Turkey I,,3,0,3,5
Political Science and International Relations Department (in English),POLS 302,Contemporary Political Ideologies,,3,0,3,7
Political Science and International Relations Department (in English),POLS 308,Comparative Political Systems,,3,0,3,6
Political Science and International Relations Department (in English),UNI 202,Formations of Modern Turkey II,,3,0,3,5
Political Science and International Relations Department (in English),POLS 403,International Political Economy,POLS 202,3,0,3,6
Political Science and International Relations Department (in English),POLS 402,Turkish Foreign Policy,POLS 202,3,0,3,6
Psychology Department (in Turkish),UNIT 100,Exploring Istanbul,,2,2,3,5
Psychology Department (in Turkish),UNIT 111,Critical Reading and Writing in Turkish I,,3,0,3,5
Psychology Department (in Turkish),UNIT 117,Understanding Society and Culture,,3,0,3,5
Psychology Department (in Turkish),UNIT 221,World Civilizations and Global Encounters: Until 1300 CE,,3,0,3,5
Psychology Department (in Turkish),PSI 102,Introduction to Psychology,,3,0,3,5
Psychology Department (in Turkish),UNIT 112,Critical Reading and Writing in Turkish II,,3,0,3,5
Psychology Department (in Turkish),UNIT 118,Understanding Politics and Economy,,3,0,3,5
Psychology Department (in Turkish),UNIT 222,World Civilizations and Global Encounters: Since 1300 CE,,3,0,3,5
Psychology Department (in Turkish),PSI 203,Statistics,PSI 102,3,2,4,7
Psychology Department (in Turkish),PSI 231,Biological Psychology,PSI 102,3,0,3,6
Psychology Department (in Turkish),PSI 261,Personality,PSI 102,3,0,3,6
Psychology Department (in Turkish),UNIT 201,Formations of Modern Turkey I,,3,0,3,5
Psychology Department (in Turkish),PSI 204,Research Methods,"PSI 102, PSI 203",3,2,4,8
Psychology Department (in Turkish),PSI 212,Social Psychology,PSI 102,3,0,3,6
Psychology Department (in Turkish),PSI 252,Lifespan Developmental Psychology,PSI 102,3,0,3,6
Psychology Department (in Turkish),UNIT 202,Formations of Modern Turkey II,,3,0,3,5
Psychology Department (in Turkish),PSI 325,Abnormal Psychology,At Least Success 56 crh,3,0,3,6
Psychology Department (in Turkish),PSI 333,Organizational Psychology,At Least Success 56 crh,3,0,3,6
Psychology Department (in Turkish),PSI 322,Introduction to Clinical Psychology,At Least Success 56 crh,3,0,3,6
Psychology Department (in Turkish),PSI 326,Cognitive Psychology,At Least Success 56 crh,2,2,3,6
Psychology Department (in Turkish),PSI 431,Sağlık Psikolojisi,At Least Success 68 Crh.,3,0,3,6
Psychology Department (in Turkish),PSI 461,Motivasyon ve Duygu,At Least Success 68 Crh.,3,0,3,6
Psychology Department (in Turkish),PSI 402,Psikolojide Tarih ve Sistemler,At Least Success 68 Crh.,3,0,3,6
Psychology Department (in English),UNI 100,Exploring İstanbul,,2,2,3,5
Psychology Department (in English),UNI 111,Critical Reading and Writing in Turkish I,,3,0,3,5
Psychology Department (in English),UNI 117,Understanding Society and Culture,,3,0,3,5
Psychology Department (in English),UNI 123,Textual Analysis and Effective Communication,,3,0,3,5
Psychology Department (in English),UNI 221,World Civilizations and Global Encounters: Until 1300 CE,,3,0,3,5
Psychology Department (in English),PSY 102,Introduction to Psychology,,3,0,3,5
Psychology Department (in English),UNI 112,Critical Reading and Writing in Turkish II,,3,0,3,5
Psychology Department (in English),UNI 118,Understanding Politics and Economy,,3,0,3,5
Psychology Department (in English),UNI 124,Textual Analysis and Academic Writing,successfully complete one of the UNI 113 or UNI 123 courses,3,0,3,5
Psychology Department (in English),UNI 222,World Civilizations and Global Encounters: Since 1300 CE,,3,0,3,5
Psychology Department (in English),PSY 203,Statistics,PSY 102,3,2,4,7
Psychology Department (in English),PSY 231,Biological Psychology,PSY 102,3,0,3,6
Psychology Department (in English),PSY 261,Personality,PSY 102,3,0,3,6
Psychology Department (in English),UNI 201,Formations of Modern Turkey I,,3,0,3,5
Psychology Department (in English),PSY 212,Social Psychology,PSY 102,3,0,3,6
Psychology Department (in English),PSY 204,Research Methods,"PSY 203, PSY 102",3,2,4,8
Psychology Department (in English),PSY 252,Lifespan Developmental Psychology,PSY 102,3,0,3,6
Psychology Department (in English),UNI 202,Formations of Modern Turkey II,,3,0,3,5
Psychology Department (in English),PSY 325,Abnormal Psychology,At Least Success 56 Crh,3,0,3,6
Psychology Department (in English),PSY 333,Organizational Psychology,At Least Success 56 Crh,3,0,3,6
Psychology Department (in English),PSY 322,Introduction to Clinical Psychology,At Least Success 56 Crh,3,0,3,6
Psychology Department (in English),PSY 326,Cognitive Psychology,At Least Success 56 Crh,3,0,3,6
Psychology Department (in English),PSY 431,Health Psychology,,3,0,3,6
Psychology Department (in English),PSY 461,Motivation and Emotion,,3,0,3,6
Psychology Department (in English),PSY 414,History and Systems in Psychology,,3,0,3,6
Sociology Department,UNI 100,Exploring İstanbul,,2,2,3,5
Sociology Department,UNI 111,Critical Reading and Writing in Turkish I,,3,0,3,5
Sociology Department,UNI 117,Understanding Society and Culture,,3,0,3,5
Sociology Department,UNI 123,Textual Analysis and Effective Communication,,3,0,3,5
Sociology Department,UNI 221,World Civilizations and Global Encounters: Until 1300 CE,,3,0,3,5
Sociology Department,UNI 112,Critical Reading and Writing in Turkish II,,3,0,3,5
Sociology Department,UNI 118,Understanding Politics and Economy,,3,0,3,5
Sociology Department,UNI 124,Textual Analysis and Academic Writing,successfully complete one of the UNI 113 or UNI 123 courses,3,0,3,5
Sociology Department,UNI 222,World Civilizations and Global Encounters: Since 1300 CE,,3,0,3,5
Sociology Department,SOC 201,Sociological Imagination,,3,0,3,6
Sociology Department,SOC 225,Research Methods,,3,2,3,7
Sociology Department,SOC 241,Social Anthropology,,3,0,3,6
Sociology Department,UNI 201,Formations of Modern Turkey I,,3,0,3,5
Sociology Department,SOC 203,Statistics,,4,0,4,7
Sociology Department,SOC 230,Sociology of Work and Organizations,,3,0,3,6
Sociology Department,SOC 242,Urban Sociology,,3,0,3,6
Sociology Department,UNI 202,Formations of Modern Turkey II,,3,0,3,5
Sociology Department,SOC 307,Political Sociology,,3,0,3,7
Sociology Department,SOC 331,Social Theory I : Classics,,3,0,3,6
Sociology Department,SOC 371,Development of Sociology in Turkey,,3,0,3,6
Sociology Department,SOC 312,Social Psychology,,3,0,3,6
Sociology Department,SOC 332,Social Theory II: Contemporary Sociology,,3,0,3,6
Sociology Department,SOC 334,Social Change and Modernization,,3,0,3,6
Sociology Department,SOC 417,Economic Sociology,,3,0,3,6
Sociology Department,SOC 420,Sociology of Religion,,3,0,3,6
Sociology Department,SOC 458,Historical Sociology,,3,0,3,6
Philosophy Department,PHIL 103,Philosophical Thinking,,3,0,3,5
Philosophy Department,UNI 100,Exploring İstanbul,,2,2,3,5
Philosophy Department,UNI 102,Critical Thinking,,3,0,3,5
Philosophy Department,UNI 111,Critical Reading and Writing in Turkish I,,3,0,3,5
Philosophy Department,UNI 117,Understanding Society and Culture,,3,0,3,5
Philosophy Department,UNI 123,Textual Analysis and Effective Communication,,3,0,3,5
Philosophy Department,PHIL 102,Modern Logic,,3,0,3,5
Philosophy Department,PHIL 104,Philosophy in Axile Ages,,3,0,3,5
Philosophy Department,UNI 112,Critical Reading and Writing in Turkish II,,3,0,3,5
Philosophy Department,UNI 118,Understanding Politics and Economy,,3,0,3,5
Philosophy Department,UNI 124,Textual Analysis and Academic Writing,successfully complete one of the UNI 113 or UNI 123 courses,3,0,3,5
Philosophy Department,PHIL 201,Ancient Philosophy I:Plato,,3,0,3,5
Philosophy Department,PHIL 203,Epistemology,,3,0,3,5
Philosophy Department,UNI 201,Formations of Modern Turkey I,,3,0,3,5
Philosophy Department,UNI 221,World Civilizations and Global Encounters: Until 1300 CE,,3,0,3,5
Philosophy Department,PHIL 202,Ancient Philosophy II:Aristo,,3,0,3,5
Philosophy Department,PHIL 204,Ontology,,3,0,3,5
Philosophy Department,UNI 202,Formations of Modern Turkey II,,3,0,3,5
Philosophy Department,UNI 222,World Civilizations and Global Encounters: Since 1300 CE,,3,0,3,5
Philosophy Department,PHIL 301,Islamic Thought,,3,0,3,5
Philosophy Department,PHIL 303,Arabic/Islamic Philosophy:Ibn Sina,,3,0,3,5
Philosophy Department,PHIL 305,Latin/Christian Philosophy:Aquinas,,3,0,3,5
Philosophy Department,PHIL 302,Early Modern Philosophy,,3,0,3,5
Philosophy Department,PHIL 306,History and Philosophy of Science,,3,0,3,5
Philosophy Department,PHIL 401,Modern Philosophy:Kant,,3,0,3,5
Philosophy Department,PHIL 403,Ethics,,3,2,3,5
Philosophy Department,PHIL 402,Contemporary Philosophy,,3,0,3,6
Philosophy Department,PHIL 404,Political Philosophy,,3,0,3,6
Philosophy Department,PHIL 406,Graduate Project,,3,0,3,6
History Department,UNI 100,Exploring İstanbul,,2,2,3,5
History Department,UNI 111,Critical Reading and Writing in Turkish I,,3,0,3,5
History Department,UNI 117,Understanding Society and Culture,,3,0,3,5
History Department,UNI 123,Textual Analysis and Effective Communication,,3,0,3,5
History Department,UNI 221,World Civilizations and Global Encounters: Until 1300 CE,,3,0,3,5
History Department,UNI 112,Critical Reading and Writing in Turkish II,,3,0,3,5
History Department,UNI 118,Understanding Politics and Economy,,3,0,3,5
History Department,UNI 124,Textual Analysis and Academic Writing,successfully complete one of the UNI 113 or UNI 123 courses,3,0,3,5
History Department,UNI 222,World Civilizations and Global Encounters: Since 1300 CE,,3,0,3,5
History Department,HIST 201,Historical Methodology,,3,0,3,5
History Department,HIST 203,Early Islamic History,,3,0,3,5
History Department,HIST 205,Mediterranean History,,3,0,3,5
History Department,OTM 101,Ottoman Turkish I,,3,0,3,5
History Department,UNI 201,Formations of Modern Turkey I,,3,0,3,5
History Department,HIST 202,Ottoman History: Beylik to Empire,,3,0,3,5
History Department,HIST 204,Muslim Empires: A Concise History,,3,0,3,5
History Department,HIST 206,History of Central Eurasia and Turkic Peoples,,3,0,3,5
History Department,OTM 102,Ottoman Turkish II,,3,0,3,5
History Department,UNI 202,Formations of Modern Turkey II,,3,0,3,5
History Department,HIST 301,Statistics for Social Sciences,,2,2,4,7
History Department,HIST 303,Classical Ottoman History,,3,0,3,6
History Department,HIST 305,History of Medieval Europe,,3,0,3,5
History Department,HIST 307,Ottoman Paleography,,3,0,3,5
History Department,HIST 302,Research Methods,,3,0,3,7
History Department,HIST 304,Late Ottoman History,,3,0,3,5
History Department,HIST 306,History of Modern Europe,,3,0,3,5
History Department,HIST 308,Ottoman Diplomatica,HIST 307,3,0,3,5
History Department,HIST 401,Historiography: Ancient to Modern,,3,0,3,7
History Department,HIST 405,Historical Geography,,3,0,3,7
History Department,HIST 402,Contemporary Historiography,,3,0,3,7
History Department,HIST 406,Senior Project,,3,0,3,9
Turkish Language and Literature Department,UNI 100,Exploring İstanbul,,2,2,3,5
Turkish Language and Literature Department,UNI 111,Critical Reading and Writing in Turkish I,,3,0,3,5
Turkish Language and Literature Department,UNI 117,Understanding Society and Culture,,3,0,3,5
Turkish Language and Literature Department,UNI 123,Textual Analysis and Effective Communication,,3,0,3,5
Turkish Language and Literature Department,UNI 221,World Civilizations and Global Encounters: Until 1300 CE,,3,0,3,5
Turkish Language and Literature Department,OTM 101,Ottoman Turkish I,,3,0,3,5
Turkish Language and Literature Department,UNI 112,Critical Reading and Writing in Turkish II,,3,0,3,5
Turkish Language and Literature Department,UNI 118,Understanding Politics and Economy,,3,0,3,5
Turkish Language and Literature Department,UNI 124,Textual Analysis and Academic Writing,successfully complete one of the UNI 113 or UNI 123 courses,3,0,3,5
Turkish Language and Literature Department,UNI 222,World Civilizations and Global Encounters: Since 1300 CE,,3,0,3,5
Turkish Language and Literature Department,LING 203,Turkish Linguistics,,4,0,4,5
Turkish Language and Literature Department,LIT 201,Origins of Modern Literatures,,3,0,3,5
Turkish Language and Literature Department,LIT 203,Classical Islamic Literatures I: Major Themes and Sources,,3,0,3,5
Turkish Language and Literature Department,LIT 205,Literary and Linguistic Research Methods,,2,0,2,4
Turkish Language and Literature Department,OTM 102,Ottoman Turkish II,,3,0,3,5
Turkish Language and Literature Department,LING 204,Historical Linguistics of Turkish,,3,0,3,4
Turkish Language and Literature Department,LIT 202,Modernities and Literatures,,3,0,3,5
Turkish Language and Literature Department,LIT 204,"Classical Islamic Literatures II: Major Literary Spaces, Main Actors and Genres",,3,0,3,5
Turkish Language and Literature Department,OTM 201,Advanced Readings in Ottoman Turkish,,3,0,3,5
Turkish Language and Literature Department,LIT 301,Modern Turkish Literature in the Ottoman Period,,3,0,3,5
Turkish Language and Literature Department,LIT 303,Classical Turkish Literature: Main Concepts,,3,0,3,5
Turkish Language and Literature Department,LIT 305,Origins of Literary Theory and Criticism,,3,0,3,5
Turkish Language and Literature Department,UNI 201,Formations of Modern Turkey I,,3,0,3,5
Turkish Language and Literature Department,LIT 302,Modern Turkish Literature in the Republican Peirod,,3,0,3,5
Turkish Language and Literature Department,LIT 304,History of Classical Turkish Literature,LIT 303,3,0,3,5
Turkish Language and Literature Department,LIT 306,Modern Literary Theory and Criticism,,3,0,3,5
Turkish Language and Literature Department,UNI 202,Formations of Modern Turkey II,,3,0,3,5
Turkish Language and Literature Department,LIT 401,Literature and Folklore,,3,0,3,6
Turkish Language and Literature Department,LIT 411,Ottoman Novel and Modernity,,3,0,3,6
Turkish Language and Literature Department,LIT 433,Masnavi in Classical Turkish Literature,,3,0,3,6
Turkish Language and Literature Department,LIT 406,Literature and Humanities,,3,0,3,6
English Language and Literature Department,UNI 100,Exploring İstanbul,,2,2,3,5
English Language and Literature Department,UNI 111,Critical Reading and Writing in Turkish I,,3,0,3,5
English Language and Literature Department,UNI 117,Understanding Society and Culture,,3,0,3,5
English Language and Literature Department,UNI 123,Textual Analysis and Effective Communication,,3,0,3,5
English Language and Literature Department,UNI 221,World Civilizations and Global Encounters: Until 1300 CE,,3,0,3,5
English Language and Literature Department,UNI 112,Critical Reading and Writing in Turkish II,,3,0,3,5
English Language and Literature Department,UNI 118,Understanding Politics and Economy,,3,0,3,5
English Language and Literature Department,UNI 124,Textual Analysis and Academic Writing,successfully complete one of the UNI 113 or UNI 123 courses,3,0,3,5
English Language and Literature Department,UNI 222,World Civilizations and Global Encounters: Since 1300 CE,,3,0,3,5
English Language and Literature Department,ELIT 201,Mythologies,,3,0,3,6
English Language and Literature Department,ELIT 203,Linguistics I,,3,0,3,7
English Language and Literature Department,ELIT 205,Introduction to Literary Genres,,3,0,3,6
English Language and Literature Department,UNI 201,Formations of Modern Turkey I,,3,0,3,5
English Language and Literature Department,ELIT 204,Linguistics II,ELIT 203,3,0,3,6
English Language and Literature Department,ELIT 206,Poetry,ELIT 205,3,0,3,7
English Language and Literature Department,ELIT 208,Reading Classics,,3,0,3,6
English Language and Literature Department,UNI 202,Formations of Modern Turkey II,,3,0,3,5
English Language and Literature Department,ELIT 301,History of English Literature I,,3,0,3,6
English Language and Literature Department,ELIT 303,Literary Theory I,,3,0,3,6
English Language and Literature Department,ELIT 302,History of English Literature II,,3,0,3,6
English Language and Literature Department,ELIT 304,Literary Theory II,,3,0,3,6
English Language and Literature Department,ELIT 306,Modernism,,3,0,3,6
English Language and Literature Department,ELIT 401,Postcolonial Litearture,,3,0,3,6
English Language and Literature Department,ELIT 403,Drama,ELIT 205,3,0,3,6
English Language and Literature Department,ELIT 404,World Literature,,3,0,3,6
Translation and Interpretation Department,TRI 101,Introduction to Translation and Translation Studies I,,3,0,3,5
Translation and Interpretation Department,UNI 111,Critical Reading and Writing in Turkish I,,3,0,3,5
Translation and Interpretation Department,UNI 117,Understanding Society and Culture,,3,0,3,5
Translation and Interpretation Department,UNI 123,Textual Analysis and Effective Communication,,3,0,3,5
Translation and Interpretation Department,TRI 102,Introduction to Translation and Translation Studies II,TRI 101,3,0,3,5
Translation and Interpretation Department,UNI 112,Critical Reading and Writing in Turkish II,,3,0,3,5
Translation and Interpretation Department,UNI 118,Understanding Politics and Economy,,3,0,3,5
Translation and Interpretation Department,UNI 124,Textual Analysis and Academic Writing,successfully complete one of the UNI 113 or UNI 123 courses,3,0,3,5
Translation and Interpretation Department,TRI 201,Technical Translation,TRI 102,3,0,3,5
Translation and Interpretation Department,TRI 203,English Literature,,3,0,3,5
Translation and Interpretation Department,TRI 205,Linguistics,,3,0,3,5
Translation and Interpretation Department,UNI 221,World Civilizations and Global Encounters: Until 1300 CE,,3,0,3,5
Translation and Interpretation Department,TRI 202,Translation Technologies,TRI 102,3,0,3,5
Translation and Interpretation Department,TRI 204,Media and Advertisement Translation,TRI 102,3,0,3,5
Translation and Interpretation Department,TRI 206,Introduction to Interpreting,TRI 101,3,0,3,5
Translation and Interpretation Department,UNI 222,World Civilizations and Global Encounters: Since 1300 CE,,3,0,3,5
Translation and Interpretation Department,TRI 301,Translation Theories,TRI 102,3,0,3,5
Translation and Interpretation Department,TRI 303,Consecutive Interpretation,TRI 206,3,0,3,5
Translation and Interpretation Department,UNI 201,Formations of Modern Turkey I,,3,0,3,5
Translation and Interpretation Department,TRI 302,Literary Translation,TRI 102,3,0,3,5
Translation and Interpretation Department,TRI 304,Simultaneous Interpretation I,TRI 303,3,0,3,5
Translation and Interpretation Department,UNI 202,Formations of Modern Turkey II,,3,0,3,5
Translation and Interpretation Department,TRI 401,Translation History,,3,0,3,5
Translation and Interpretation Department,UNI 100,Exploring İstanbul,,2,2,3,5
Translation and Interpretation Department,TRI 402,Translation Criticism,TRI 301,3,0,3,6
Translation and Interpretation Department,TRI 404,Senior Project,,3,0,3,9
Industrial Engineering Department (in English),ENGR 101,Introduction to Programming,,2,2,3,5
Industrial Engineering Department (in English),ENGR 105,Introduction to Engineering,,0,2,1,2
Industrial Engineering Department (in English),LIFE 101,Life Sciences I - Chemistry,,3,0,3,5
Industrial Engineering Department (in English),MATH 103,Calculus I - Differential,,3,2,4,6
Industrial Engineering Department (in English),PHYS 103,Physics I - Mechanics and Dynamics,,3,2,4,6
Industrial Engineering Department (in English),PHYS 103L,Physics I - Lab,,0,2,1,1
Industrial Engineering Department (in English),UNI 111,Critical Reading and Writing in Turkish I,,3,0,3,5
Industrial Engineering Department (in English),ENGR 100,Computer Skills,,0,0,1,2
Industrial Engineering Department (in English),ENGR 102,Programming Practice,ENGR 101,2,2,3,5
Industrial Engineering Department (in English),LIFE 102,Life Sciences II - Biology,,3,0,3,5
Industrial Engineering Department (in English),MATH 104,Calculus II - Integral,MATH 103,3,2,4,6
Industrial Engineering Department (in English),PHYS 104,Physics II - Electromagnetics and Modern Physics,,3,2,4,6
Industrial Engineering Department (in English),PHYS 104L,Physics II - Lab,,0,2,1,1
Industrial Engineering Department (in English),UNI 100,Exploring İstanbul,,2,2,3,5
Industrial Engineering Department (in English),UNI 112,Critical Reading and Writing in Turkish II,,3,0,3,5
Industrial Engineering Department (in English),ENGR 244,Engineering Materials,"PHYS 104, ENGR 100",3,0,3,5
Industrial Engineering Department (in English),ENGR 251,Probability for Engineers,"MATH 104, ENGR 105",2,2,3,5
Industrial Engineering Department (in English),MATH 205,Linear Algebra,MATH 103,2,2,3,5
Industrial Engineering Department (in English),UNI 123,Textual Analysis and Effective Communication,,3,0,3,5
Industrial Engineering Department (in English),ENGR 246,Manufacturing Processes,ENGR 244,3,0,3,5
Industrial Engineering Department (in English),ENGR 252,Statistics for Engineers,successfully complete one of the courses (ENGR 251 or MGT 205),2,2,3,5
Industrial Engineering Department (in English),IE 200,Summer Practice,,0,0,0,5
Industrial Engineering Department (in English),UNI 124,Textual Analysis and Academic Writing,successfully complete one of the UNI 113 or UNI 123 courses,3,0,3,5
Industrial Engineering Department (in English),IE 321,Deterministic Models in OR,MATH 205,2,2,3,5
Industrial Engineering Department (in English),IE 324,Simulation,successfully complete one of the courses (ENGR 251 or MGT 205),2,2,3,5
Industrial Engineering Department (in English),UNI 201,Formations of Modern Turkey I,,3,0,3,5
Industrial Engineering Department (in English),IE 300,Summer Practice,,0,0,0,5
Industrial Engineering Department (in English),IE 316,Engineering Economics,successfully complete one of the courses (ENGR 252 or MGT 206),2,2,3,5
Industrial Engineering Department (in English),IE 322,Stochastic Models in OR,IE 321,2,2,3,5
Industrial Engineering Department (in English),IE 344,Design and Analysis of Manufacturing Systems,IE 321,2,2,3,5
Industrial Engineering Department (in English),UNI 202,Formations of Modern Turkey II,,3,0,3,5
Industrial Engineering Department (in English),ENGR 497,Global Design Project I Analysis,At Least Success 90 Crh,1,2,2,10
Industrial Engineering Department (in English),IE 446,Manufacturing Planning and Control,At Least Success 90 Crh,2,2,3,5
Industrial Engineering Department (in English),IE 451,Project Management,Jenior Year Standing,2,2,3,5
Industrial Engineering Department (in English),ENGR 498,Global Design Project II Synthesis,"At Least Success 90 Crh, ENGR 497",1,2,2,10
Industrial Engineering Department (in Turkish),FIZ 101,Physics I - Mechanics and Dynamics,,3,2,4,6
Industrial Engineering Department (in Turkish),FIZ 101L,Physics I - Lab,,0,2,1,1
Industrial Engineering Department (in Turkish),KIM 101,Life Sciences I - Chemistry,,3,0,3,5
Industrial Engineering Department (in Turkish),MAT 103,Calculus I - Differential,,3,2,4,6
Industrial Engineering Department (in Turkish),MDB 100,Computer Skills,,0,0,1,2
Industrial Engineering Department (in Turkish),MDB 101,Introduction to Programming,,2,2,3,5
Industrial Engineering Department (in Turkish),UNIT 111,Critical Reading and Writing in Turkish I,,3,0,3,5
Industrial Engineering Department (in Turkish),BIO 101,Life Sciences II - Biology,,3,0,3,5
Industrial Engineering Department (in Turkish),FIZ 102,Physics II - Electromagnetics and Modern Physics,,3,2,4,6
Industrial Engineering Department (in Turkish),FIZ 102L,Physics II - Lab,,0,2,1,1
Industrial Engineering Department (in Turkish),MAT 104,Calculus II - Integral,MAT 103,3,2,4,6
Industrial Engineering Department (in Turkish),MDB 102,Programming Practice,MDB 101,2,2,3,5
Industrial Engineering Department (in Turkish),MDB 105,Introduction to Engineering,,0,0,1,2
Industrial Engineering Department (in Turkish),UNIT 112,Critical Reading and Writing in Turkish II,,3,0,3,5
Industrial Engineering Department (in Turkish),MAT 205,Doğrusal Cebir,MAT 103,3,0,3,5
Industrial Engineering Department (in Turkish),MDB 244,Malzeme Bilimi,"FIZ 102, MDB 100",3,0,3,5
Industrial Engineering Department (in Turkish),MDB 251,Olasılık Teorisi,"MAT 104, MDB 105",2,2,3,5
Industrial Engineering Department (in Turkish),EM 200,Staj Dersi I,,0,0,0,5
Industrial Engineering Department (in Turkish),EM 210,Ekonomiye Giriş,MDB 100,3,0,3,5
Industrial Engineering Department (in Turkish),MDB 246,Üretim Süreçleri,MDB 244,3,0,3,5
Industrial Engineering Department (in Turkish),MDB 252,İstatistik,MDB 251,2,2,3,5
Industrial Engineering Department (in Turkish),UNIT 100,Exploring Istanbul,,2,2,3,5
Industrial Engineering Department (in Turkish),EM 306,Maliyet Muhasebesi,,3,0,3,5
Industrial Engineering Department (in Turkish),EM 321,Yöneylem Araştırması I,MAT 205,2,2,3,5
Industrial Engineering Department (in Turkish),EM 324,Simülasyon,MDB 251,2,2,3,5
Industrial Engineering Department (in Turkish),UNIT 201,Formations of Modern Turkey I,,3,0,3,5
Industrial Engineering Department (in Turkish),EM 300,Staj Dersi II,,3,0,0,5
Industrial Engineering Department (in Turkish),EM 316,Mühendislik Ekonomisi,MDB 252,2,2,3,5
Industrial Engineering Department (in Turkish),EM 322,Yöneylem Araştırması II,EM 321,2,2,3,5
Industrial Engineering Department (in Turkish),EM 344,Üretim Sistemleri Tasarım ve Analizi,"EM 321, MDB 252",2,2,3,5
Industrial Engineering Department (in Turkish),EM 371,İş Etüdü ve Ergonomi,,3,0,3,5
Industrial Engineering Department (in Turkish),UNIT 202,Formations of Modern Turkey II,,3,0,3,5
